#{"t_start": 1742229566.614126, "env_id": "None"}
r,l,t
5.0,1,99.716447
0.0,10,99.927439
0.0,6,100.000286
5.0,1,100.003268
30.0,2,100.073681
5.0,1,100.076245
33.333333,8,100.217698
5.0,1,100.220773
-10.0,8,100.364345
-15.0,9,100.569941
48.333333,5,100.684857
35.0,3,100.755188
5.0,1,100.759055
0.0,10,100.902369
10.0,8,101.042136
-30.0,12,101.248568
43.333333,6,101.392924
-5.0,7,101.54012
5.0,1,101.543339
35.0,3,101.61636
53.333333,4,101.68919
-20.0,10,101.846679
27.5,9,101.998306
-5.0,7,102.144455
0.0,10,102.35569
35.0,3,102.360203
35.0,3,102.431085
5.0,1,102.433568
35.0,3,102.505759
5.0,1,102.50866
0.0,6,102.647641
30.0,2,102.651627
5.0,1,102.722417
10.0,8,102.863781
5.0,1,102.866533
0.0,6,102.939193
35.0,3,103.204243
0.0,10,103.413109
5.0,1,103.415867
30.0,2,103.41905
35.0,3,103.491305
5.0,1,103.493837
0.0,6,103.63166
30.0,2,103.635545
0.0,6,103.777665
5.0,1,103.781421
-15.0,9,103.922855
0.0,6,104.062131
35.0,3,104.133629
30.0,4,104.204779
30.0,2,104.20796
0.0,6,104.345781
-20.0,10,104.489047
0.0,6,104.629071
0.0,6,104.699987
5.0,1,104.702672
35.0,3,104.775836
30.0,2,104.845228
0.0,6,104.918392
0.0,6,105.058942
5.0,1,105.062894
0.0,10,105.205819
35.0,3,105.278481
0.0,6,105.47586
